"api_version","results__corporate_grouping__name","results__corporate_grouping__wikipedia_id","results__corporate_grouping__companies_count","results__corporate_grouping__created_at","results__corporate_grouping__updated_at","results__corporate_grouping__curators__user__name","results__corporate_grouping__curators__user__opencorporates_url","results__corporate_grouping__memberships__membership__source__publisher","results__corporate_grouping__memberships__membership__source__retrieved_at","results__corporate_grouping__memberships__membership__source__url","results__corporate_grouping__memberships__membership__source__source_type","results__corporate_grouping__memberships__membership__company__name","results__corporate_grouping__memberships__membership__company__jurisdiction_code","results__corporate_grouping__memberships__membership__company__company_number","results__corporate_grouping__memberships__membership__company__opencorporates_url","results__corporate_grouping__memberships__membership__company__inactive"
"","","","","","","","","Ben Parker","2016-12-11T20:37:26+00:00","https://opencorporates.com/users/23275","user","TRUMP'S CASTLE FUNDING, INC.","us_nj","0100261719","https://opencorporates.com/companies/us_nj/0100261719","null"
"","","","","","","","","Ben Parker","2016-12-12T10:47:14+00:00","https://opencorporates.com/users/23275","user","TRUMP FAMILY TRUST, A NEW JERSEY NON-PROFIT CORPORATION","us_nj","0101032409","https://opencorporates.com/companies/us_nj/0101032409","null"
"","","","","","","","","Ben Parker","2016-12-12T10:47:26+00:00","https://opencorporates.com/users/23275","user","TRUMP FAMILY TRUST, A NEW JERSEY NON-PROFIT CORPORATION","us_nj","0101032409","https://opencorporates.com/companies/us_nj/0101032409","null"
"","","","","","","","","Ben Parker","2016-12-12T10:49:22+00:00","https://opencorporates.com/users/23275","user","LAMINGTON FAMILY HOLDINGS LLC","us_nj","0600375792","https://opencorporates.com/companies/us_nj/0600375792","null"
"","","","","","","","","Ben Parker","2016-12-12T10:51:06+00:00","https://opencorporates.com/users/23275","user","SHENYANG HOLDING CORP.","us_nj","0100405865","https://opencorporates.com/companies/us_nj/0100405865","null"
"","","","","","","","","Ben Parker","2016-12-12T10:58:18+00:00","https://opencorporates.com/users/23275","user","DJT FUNDING CORP.","us_nj","0100408164","https://opencorporates.com/companies/us_nj/0100408164","null"
"","","","","","","","","Ben Parker","2016-12-12T11:10:01+00:00","https://opencorporates.com/users/23275","user","TRUMP CRYSTAL TOWER ASSOCIATES LIMITED PARTNERSHIP","us_nj","0600009350","https://opencorporates.com/companies/us_nj/0600009350","null"
"","","","","","","","","Ben Parker","2016-12-12T11:10:35+00:00","https://opencorporates.com/users/23275","user","TRUMP SPORTS & ENTERTAINMENT CO., INC.","us_nj","0100422816","https://opencorporates.com/companies/us_nj/0100422816","null"
"","","","","","","","","Ben Parker","2016-12-12T11:10:59+00:00","https://opencorporates.com/users/23275","user","TRUMP CASH CALL CO., INC.","us_nj","0100422815","https://opencorporates.com/companies/us_nj/0100422815","null"
"","","","","","","","","Ben Parker","2016-12-12T11:11:35+00:00","https://opencorporates.com/users/23275","user","TRUMP CASINOS II, INC.","us_nj","0100519084","https://opencorporates.com/companies/us_nj/0100519084","null"
"","","","","","","","","Ben Parker","2016-12-12T11:12:41+00:00","https://opencorporates.com/users/23275","user","TRUMP OCEANVIEW, INC.","us_nj","0100585637","https://opencorporates.com/companies/us_nj/0100585637","null"
"","","","","","","","","Ben Parker","2016-12-12T11:13:02+00:00","https://opencorporates.com/users/23275","user","THCR MERGER CORP.","us_nj","0100660324","https://opencorporates.com/companies/us_nj/0100660324","null"
