2016101400420002,A,2016000370082,1,PAT,2016-10-13,0,2016-10-20,2016-10-20,0,0,0,0,2016-10-31
2016012001107002,A,2016000033240,2,PAT,2016-01-12,0,2016-01-30,2016-01-30,0,0,0,0,2016-01-31
2016042800814001,A,2016000150103,1,DEED,2016-04-26,356388,2016-05-02,2016-05-02,0,0,0,100,2016-05-31
2016061401643002,A,2016000220099,1,PAT,2016-06-10,0,2016-06-29,2016-06-29,0,0,0,0,2016-07-31
2016021801395002,A,2016000070569,1,PAT,2016-02-17,0,2016-03-01,2016-03-01,0,0,0,0,2016-03-31
2016111800425002,A,2016000410602,1,PAT,2016-11-15,0,2016-11-21,2016-11-21,0,0,0,0,2016-11-30
2016101800813001,A,2016000369623,1,LOCC,2016-10-18,0,2016-10-20,2016-10-20,0,0,0,0,2016-10-31
2016082600138001,A,2016000299067,1,LOCC,2016-08-25,0,2016-08-30,2016-08-30,0,0,0,0,2016-08-31
2016021501816001,A,2016000074354,1,TOLCC,2016-01-31,0,2016-03-03,2016-03-03,0,0,0,0,2016-03-31
2016062901802002,A,2016000247902,1,PAT,2016-03-01,0,2016-07-20,2016-07-20,0,0,0,0,2016-07-31
2016052500946004,A,2016000198587,1,PAT,2016-05-24,0,2016-06-13,2016-06-13,0,0,0,0,2016-06-30
2016022400886002,A,2016000070318,1,PAT,2016-02-15,0,2016-03-01,2016-03-01,0,0,0,0,2016-03-31
2016041801323005,A,2016000142338,1,PAT,2016-04-15,0,2016-04-25,2016-04-25,0,0,0,0,2016-04-30
2016021101024004,A,2016000060391,1,PAT,2016-02-03,0,2016-02-23,2016-02-23,0,0,0,0,2016-02-29
2016081601456002,A,2016000290509,1,PAT,2016-08-10,0,2016-08-23,2016-08-23,0,0,0,0,2016-08-31
2016041500205001,A,2016000222011,1,PAT,2016-04-13,0,2016-06-30,2016-06-30,0,0,0,0,2016-07-31
2016060300870005,A,2016000205996,1,PAT,2016-05-23,0,2016-06-20,2016-06-20,0,0,0,0,2016-07-31
2016072200462003,A,2016000258824,1,PAT,2016-07-14,0,2016-07-28,2016-07-28,0,0,0,0,2016-07-31
2016092300530005,A,2016000341681,3,PAT,2016-09-22,0,2016-09-29,2016-09-29,0,0,0,0,2016-09-30
2016062901321003,A,2016000229246,1,PAT,2016-06-21,0,2016-07-07,2016-07-07,0,0,0,0,2016-07-31
2016031000590004,A,2016000084950,1,PAT,2016-03-01,0,2016-03-10,2016-03-10,0,0,0,0,2016-03-31
2016062801628002,A,2016000227787,1,PAT,2016-06-24,0,2016-07-06,2016-07-06,0,0,0,0,2016-07-31
2016080800448001,A,2016000274670,1,TOLCC,2016-08-08,0,2016-08-10,2016-08-10,0,0,0,0,2016-08-31
2016070801028002,A,2016000242252,2,PAT,2016-06-30,0,2016-07-15,2016-07-15,0,0,0,0,2016-07-31
2016061401234001,A,2016000207739,1,LOCC,2016-06-08,0,2016-06-21,2016-06-21,0,0,0,0,2016-07-31
2016061401234001,A,2016000207739,1,LOCC,2016-06-08,0,2016-06-21,2016-06-21,0,0,0,0,2016-07-31
2016112900522004,A,2016000423485,1,PAT,2016-11-15,0,2016-11-30,2016-11-30,0,0,0,0,2016-11-30
2016030400295002,A,2016000083331,1,PAT,2016-03-01,0,2016-03-10,2016-03-10,0,0,0,0,2016-03-31
2016062002695002,A,2016000215140,1,PAT,2016-06-02,0,2016-06-27,2016-06-27,0,0,0,0,2016-07-31
2016020200784003,A,2016000047551,1,PAT,2016-01-29,0,2016-02-11,2016-02-11,0,0,0,0,2016-02-29
2016033000093002,A,2016000117291,1,PAT,2016-04-01,0,2016-04-04,2016-04-04,0,0,0,0,2016-04-30
2016120800843003,A,2016000436408,1,PAT,2016-12-02,0,2016-12-09,2016-12-09,0,0,0,0,2016-12-31
2016042800814002,A,2016000150104,1,PAT,2016-04-26,0,2016-05-02,2016-05-02,0,0,0,0,2016-05-31
2016012701351002,A,2016000038009,1,PAT,2016-01-13,0,2016-02-03,2016-02-03,0,0,0,0,2016-02-29
2016092000313002,A,2016000328593,1,PAT,2016-09-08,0,2016-09-21,2016-09-21,0,0,0,0,2016-09-30
2016051101451002,A,2016000170945,1,PAT,2016-05-03,0,2016-05-18,2016-05-18,0,0,0,0,2016-05-31
2016051700378003,A,2016000175319,1,PAT,2016-05-10,0,2016-05-23,2016-05-23,0,0,0,0,2016-05-31
2016010600447002,A,2016000010076,1,PAT,2015-12-29,0,2016-01-11,2016-01-11,0,0,0,0,2016-01-31
2016111400602002,A,2016000416231,3,PAT,2016-11-07,0,2016-11-25,2016-11-25,0,0,0,0,2016-11-30
2016033100302002,A,2016000116921,2,PAT,2016-03-23,0,2016-04-04,2016-04-04,0,0,0,0,2016-04-30
2016052500260001,A,2016000184834,1,PAT,2016-03-23,0,2016-06-01,2016-06-01,0,0,0,0,2016-06-30
2016050301281004,A,2016000158678,1,PAT,2016-05-03,0,2016-05-09,2016-05-09,0,0,0,0,2016-05-31
2016112900289003,A,2016000420964,1,PAT,2016-11-23,0,2016-11-29,2016-11-29,0,0,0,0,2016-11-30
2016101700667003,A,2016000367422,1,PAT,2016-10-07,0,2016-10-19,2016-10-19,0,0,0,0,2016-10-31
2016050901280004,A,2016000164836,1,PAT,2016-05-03,0,2016-05-13,2016-05-13,0,0,0,0,2016-05-31
2016082600115001,A,2016000299052,1,LOCC,2016-08-25,0,2016-08-30,2016-08-30,0,0,0,0,2016-08-31
2016101000537003,A,2016000369336,1,PAT,2016-09-27,0,2016-10-20,2016-10-20,0,0,0,0,2016-10-31
2016040100449001,A,2016000115658,1,ADEC,2015-04-16,0,2016-04-01,2016-04-01,0,0,0,0,2016-04-30
2016011300883001,A,2016000046835,1,TOLCC,2015-10-05,0,2016-02-10,2016-02-10,0,0,0,0,2016-02-29
2016020300736004,A,2016000042064,1,PAT,2016-01-22,0,2016-02-08,2016-02-08,0,0,0,0,2016-02-29
2016052400227003,A,2016000184746,1,PAT,2016-05-20,0,2016-06-01,2016-06-01,0,0,0,0,2016-06-30
2016042800883001,A,2016000150207,1,DEED,2016-04-26,356388,2016-05-02,2016-05-02,0,0,0,100,2016-05-31
2016033000623002,A,2016000112063,1,PAT,2016-03-28,0,2016-03-30,2016-03-30,0,0,0,0,2016-03-31
2016020900197003,A,2016000055818,1,PAT,2015-02-02,0,2016-02-19,2016-02-19,0,0,0,0,2016-02-29
2016061501004003,A,2016000209954,1,PAT,2016-06-14,0,2016-06-22,2016-06-22,0,0,0,0,2016-07-31
2016031600179001,A,2016000105426,1,ADEC,2015-04-01,0,2016-03-24,2016-03-24,0,0,0,0,2016-03-31
2016011401138002,A,2016000016172,1,MAPS,2016-01-06,0,2016-01-15,2016-01-15,0,0,0,0,2016-01-31
2016012500922003,A,2016000055760,1,PAT,2016-01-14,0,2016-02-19,2016-02-19,0,0,0,0,2016-02-29
2016092700202001,A,2016000336960,1,LOCC,2016-09-26,0,2016-09-27,2016-09-27,0,0,0,0,2016-09-30
2016061401281001,A,2016000220605,1,LOCC,2016-06-08,0,2016-06-30,2016-06-30,0,0,0,0,2016-07-31
2016031800726001,A,2016000096917,1,MTGE,2016-03-11,750000,2016-03-18,2016-03-18,0,0,0,0,2016-03-31
2016012200474001,A,2016000032400,1,TOLCC,2016-01-22,0,2016-01-29,2016-01-29,0,0,0,0,2016-01-31
2016040501244001,A,2016000121691,1,ADEC,2016-02-08,0,2016-04-07,2016-04-07,0,0,0,0,2016-04-30
2016102500590004,A,2016000386993,2,PAT,2016-10-19,0,2016-11-02,2016-11-02,0,0,0,0,2016-11-30
2016092200990001,A,2016000335015,2,TOLCC,2016-06-30,0,2016-09-26,2016-09-26,0,0,0,0,2016-09-30
2016052301475002,A,2016000212910,1,PAT,2016-05-20,0,2016-06-24,2016-06-24,0,0,0,0,2016-07-31
2016102400850001,A,2016000374809,1,LOCC,2016-10-20,0,2016-10-24,2016-10-24,0,0,0,0,2016-10-31
2016011401138001,A,2016000016171,1,ADEC,2015-10-30,0,2016-01-15,2016-01-15,0,0,0,0,2016-01-31
2016052500936002,A,2016000206739,1,PAT,2016-05-25,0,2016-06-20,2016-06-20,0,0,0,0,2016-07-31
2016062003590003,A,2016000220188,1,PAT,2016-06-02,0,2016-06-29,2016-06-29,0,0,0,0,2016-07-31
2016060301127002,A,2016000229237,1,PAT,2016-05-24,0,2016-07-07,2016-07-07,0,0,0,0,2016-07-31
2016050300753004,A,2016000159992,1,PAT,2016-04-21,0,2016-05-10,2016-05-10,0,0,0,0,2016-05-31
2016040100449002,A,2016000115659,1,MAPS,2015-10-08,0,2016-04-01,2016-04-01,0,0,0,0,2016-04-30
2016020801797003,A,2016000052365,1,PAT,2016-02-02,0,2016-02-17,2016-02-17,0,0,0,0,2016-02-29
2016101300471003,A,2016000376605,4,PAT,2016-10-05,0,2016-10-25,2016-10-25,0,0,0,0,2016-10-31
2016100600561002,A,2016000389018,4,PAT,2016-09-29,0,2016-11-03,2016-11-03,0,0,0,0,2016-11-30
2016062801779002,A,2016000226169,1,PAT,2016-06-21,0,2016-07-05,2016-07-05,0,0,0,0,2016-07-31
2016022601220004,A,2016000080163,1,PAT,2016-02-25,0,2016-03-08,2016-03-08,0,0,0,0,2016-03-31
2016080401325002,A,2016000276805,1,PAT,2016-08-01,0,2016-08-11,2016-08-11,0,0,0,0,2016-08-31
2016010401239001,A,2016000019371,4,DEED,2015-11-24,10,2016-01-20,2016-01-20,0,0,0,100,2016-01-31
2016020101091001,A,2016000065520,2,DEED,2015-10-09,0,2016-02-25,2016-02-25,0,0,0,100,2016-02-29
2016040500437003,A,2016000119614,1,PAT,2016-03-29,0,2016-04-05,2016-04-05,0,0,0,0,2016-04-30
2016072600777002,A,2016000265602,3,PAT,2016-07-21,0,2016-08-02,2016-08-02,0,0,0,0,2016-08-31
2016021501895001,A,2016000074742,1,TOLCC,2016-01-31,0,2016-03-04,2016-03-04,0,0,0,0,2016-03-31
2016120500585002,A,2016000430314,1,PAT,2016-11-29,0,2016-12-06,2016-12-06,0,0,0,0,2016-12-31
2016050200571001,A,2016000158133,1,RPTT&RET,2016-04-19,370000,2016-05-09,2016-05-09,0,0,0,100,2016-05-31
2016052100045002,A,2016000184298,4,PAT,2016-05-19,0,2016-06-01,2016-06-01,0,0,0,0,2016-06-30
2016092900808002,A,2016000348340,1,PAT,2016-09-28,0,2016-10-04,2016-10-04,0,0,0,0,2016-10-31
2016051600273001,A,2016000176626,1,PAT,2016-02-18,0,2016-05-24,2016-05-24,0,0,0,0,2016-05-31
2016030901328003,A,2016000084326,1,PAT,2016-03-04,0,2016-03-10,2016-03-10,0,0,0,0,2016-03-31
2016062700139001,A,2016000223833,1,SAT,2016-06-22,0,2016-07-01,2016-07-01,0,0,0,0,2016-07-31
2016110600060001,A,2016000403509,4,DEED,2016-10-28,620000,2016-11-16,2016-11-16,0,0,0,100,2016-11-30
2016110100362004,A,2016000390540,3,PAT,2016-10-26,0,2016-11-04,2016-11-04,0,0,0,0,2016-11-30
2016080100779002,A,2016000282006,4,PAT,2016-07-26,0,2016-08-16,2016-08-16,0,0,0,0,2016-08-31
2016072000446002,A,2016000347076,1,PAT,2016-07-12,0,2016-10-03,2016-10-03,0,0,0,0,2016-10-31
